tiff_file,prompt,ground_truth
Thermal_96,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",34.7
Thermal_96,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",36.1
Thermal_96,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",36.6
Thermal_96,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",36.3
Thermal_96,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",36.8
Thermal_21,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",34.1
Thermal_21,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",34.0
Thermal_21,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",35.1
Thermal_21,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",36.4
Thermal_10,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",28.0
Thermal_10,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",29.4
Thermal_10,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",30.4
Thermal_10,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",30.8
Thermal_10,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.2
Thermal_10,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.4
Thermal_218,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.8
Thermal_218,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",30.6
Thermal_224,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",29.7
Thermal_224,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.1
Thermal_30,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.7
Thermal_30,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.7
Thermal_30,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.4
Thermal_30,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",34.6
Thermal_25,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.4
Thermal_25,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.0
Thermal_25,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.7
Thermal_25,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.7
Thermal_25,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.8
Thermal_25,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",34.9
Thermal_137,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.3
Thermal_137,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",34.0
Thermal_137,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.6
Thermal_137,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.1
Thermal_223,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",29.3
Thermal_223,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",30.4
Thermal_225,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",29.6
Thermal_225,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.0
Thermal_225,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",34.0
Thermal_225,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.2
Thermal_69,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",27.5
Thermal_69,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",28.2
Thermal_69,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",30.9
Thermal_69,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.6
Thermal_69,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",28.9
Thermal_69,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.6
Thermal_64,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",27.5
Thermal_64,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",27.5
Thermal_64,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",30.8
Thermal_64,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",28.9
Thermal_64,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.3
Thermal_64,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",30.5
Thermal_63,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",28.3
Thermal_63,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",28.9
Thermal_63,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.4
Thermal_63,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.0
Thermal_63,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.4
Thermal_63,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.4
Thermal_46,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.5
Thermal_46,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.9
Thermal_46,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.9
Thermal_46,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",35.4
Thermal_46,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.4
Thermal_46,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.5
Thermal_174,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.8
Thermal_174,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.5
Thermal_174,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.1
Thermal_174,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.8
Thermal_41,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.5
Thermal_41,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.9
Thermal_1,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",28.3
Thermal_1,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",28.7
Thermal_1,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.6
Thermal_1,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.1
Thermal_1,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.1
Thermal_1,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.6
Thermal_129,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.6
Thermal_129,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.7
Thermal_129,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",34.5
Thermal_129,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.4
Thermal_31,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.6
Thermal_31,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.8
Thermal_31,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.9
Thermal_31,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",34.6
Thermal_31,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.6
Thermal_31,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",34.6
Thermal_219,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.0
Thermal_219,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",30.7
Thermal_219,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.1
Thermal_219,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",34.5
Thermal_131,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.4
Thermal_131,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.4
Thermal_131,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.1
Thermal_131,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.7
Thermal_131,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.6
Thermal_131,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.5
Thermal_9,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",27.4
Thermal_9,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",28.6
Thermal_9,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.6
Thermal_9,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",30.7
Thermal_9,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",30.4
Thermal_9,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",29.8
Thermal_203,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.3
Thermal_203,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",32.0
Thermal_203,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",30.7
Thermal_203,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.3
Thermal_203,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.3
Thermal_203,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.3
Thermal_35,"Given the thermal image, what is the temperature estimate of the nose of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.1
Thermal_35,"Given the thermal image, what is the temperature estimate of the nose of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.5
Thermal_35,"Given the thermal image, what is the temperature estimate of the forehead of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.3
Thermal_35,"Given the thermal image, what is the temperature estimate of the forehead of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",34.0
Thermal_35,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",31.7
Thermal_35,"Given the thermal image, what is the temperature estimate of the chest of the right person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",33.2
Thermal_85,"Given the thermal image, what is the temperature estimate of the chest of the left person according to the image? The temperature scale is in degrees Celsius. Strictly return a single numerical value rounded to one decimal place.",29.4
