tiff_file,prompt,category,ground_truth
Thermal_36,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_36,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_232,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_232,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_232,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,left
Thermal_205,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_205,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_205,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_96,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_96,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_96,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_21,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_21,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,left
Thermal_10,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_10,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_10,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_218,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,left
Thermal_224,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_30,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_30,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_25,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,left
Thermal_25,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_25,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,left
Thermal_137,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_137,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_223,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_225,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,left
Thermal_225,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_69,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_69,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_69,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_64,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,left
Thermal_64,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,left
Thermal_64,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,left
Thermal_63,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,left
Thermal_63,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_63,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_46,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_46,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_46,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_174,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_174,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,left
Thermal_41,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,left
Thermal_1,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,left
Thermal_1,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,left
Thermal_1,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_129,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,left
Thermal_129,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_31,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_31,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_31,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_219,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_219,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,left
Thermal_131,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,left
Thermal_131,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_131,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,left
Thermal_9,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,left
Thermal_9,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,left
Thermal_9,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_203,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_203,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_203,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_35,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_35,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_35,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_85,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_85,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,left
Thermal_85,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_8,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_8,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,left
Thermal_8,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_231,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_231,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_151,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,left
Thermal_42,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_42,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_42,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,left
Thermal_204,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_204,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_84,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,left
Thermal_84,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_84,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_230,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_230,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,left
Thermal_230,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,left
Thermal_105,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,left
Thermal_105,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_105,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_138,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_138,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,left
Thermal_138,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_33,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,left
Thermal_33,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,left
Thermal_33,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,left
Thermal_7,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,left
Thermal_7,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_7,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,left
Thermal_26,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_26,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_234,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_228,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_228,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,left
Thermal_228,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,left
Thermal_23,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_23,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_23,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,left
Thermal_47,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_47,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_47,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_24,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,left
Thermal_24,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_24,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,left
Thermal_2,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,left
Thermal_2,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_103,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,left
Thermal_103,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,left
Thermal_103,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_220,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_220,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_220,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,left
Thermal_202,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_202,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_150,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,left
Thermal_150,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,left
Thermal_34,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,left
Thermal_34,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,left
Thermal_34,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,left
Thermal_235,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,right
Thermal_175,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_229,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_229,"Given the thermal image with colourbar, determine whether the nose of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Nose,left
Thermal_229,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,left
Thermal_201,"Given the thermal image with colourbar, determine whether the forehead of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Forehead,right
Thermal_201,"Given the thermal image with colourbar, determine whether the chest of the left person or the right person is hotter. Respond with only 'left' or 'right'. Strictly answer in one single word.",Chest,right
Thermal_1,"Which laptop is warmer, the one on the left or the right? Respond with only 'left' or 'right'. Strictly answer in one single word.",Laptop,left
Thermal_1,"Which laptop is colder, the one on the left or the right? Respond with only 'left' or 'right'. Strictly answer in one single word.",Laptop,right
Thermal_1,"Which of the two persons has a higher mean temperature, the one on the left or the right? Respond with only 'left' or 'right'. Strictly answer in one single word.",Person,right
Thermal_1,"Between the person on the left and the person on the right, which one is colder? Respond with only 'left' or 'right'. Strictly answer in one single word.",Person,left
Thermal_10,"Which of the two persons has a higher mean temperature, the one on the right or the left? Respond with only 'left' or 'right'. Strictly answer in one single word.",Person,right
Thermal_10,"Which person is colder, the one on the right or the left? Respond with only 'left' or 'right'. Strictly answer in one single word.",Person,left
Thermal_1000,"Which of the two chairs has a higher mean temperature, the one on the right or the left? Respond with only 'left' or 'right'. Strictly answer in one single word.",Chair,right
Thermal_1000,"Between the chair on the right and the chair on the left, which one is colder? Respond with only 'left' or 'right'. Strictly answer in one single word.",Chair,left
Thermal_1001,"Which chair is warmer, the one on the right or the left? Respond with only 'left' or 'right'. Strictly answer in one single word.",Chair,right
Thermal_1001,"Which chair is colder, the one on the right or the left? Respond with only 'left' or 'right'. Strictly answer in one single word.",Chair,left
Thermal_1002,"Which of the two chairs has a higher mean temperature, the one on the right or the left? Respond with only 'left' or 'right'. Strictly answer in one single word.",Chair,right
Thermal_1002,"Which chair is colder, the one on the right or the left? Respond with only 'left' or 'right'. Strictly answer in one single word.",Chair,left
Thermal_1003,"Which of the two chairs has a higher mean temperature, the one on the right or the left? Respond with only 'left' or 'right'. Strictly answer in one single word.",Chair,right
Thermal_1003,"Which chair is colder, the one on the right or the left? Respond with only 'left' or 'right'. Strictly answer in one single word.",Chair,left
Thermal_1004,"Which chair is warmer, the one on the right or the left? Respond with only 'left' or 'right'. Strictly answer in one single word.",Chair,right
Thermal_1004,"Between the chair on the right and the chair on the left, which one is colder? Respond with only 'left' or 'right'. Strictly answer in one single word.",Chair,left
Thermal_1008,"Which of the two furnitures has a higher mean temperature, the one on the right or the left? Respond with only 'left' or 'right'. Strictly answer in one single word.",Furniture,right
Thermal_1008,"Which of the two furnitures has a lower mean temperature, the one on the right or the left? Respond with only 'left' or 'right'. Strictly answer in one single word.",Furniture,left
Thermal_103,"Which of the two persons has a higher mean temperature, the one on the right or the left? Respond with only 'left' or 'right'. Strictly answer in one single word.",Person,left
Thermal_103,"Which of the two persons has a lower mean temperature, the one on the right or the left? Respond with only 'left' or 'right'. Strictly answer in one single word.",Person,right
Thermal_1036,"Between the chair on the left and the chair on the right, which one is warmer? Respond with only 'left' or 'right'. Strictly answer in one single word.",Chair,right
Thermal_1036,"Which of the two chairs has a lower mean temperature, the one on the left or the right? Respond with only 'left' or 'right'. Strictly answer in one single word.",Chair,left
Thermal_1037,"Which chair is warmer, the one on the left or the right? Respond with only 'left' or 'right'. Strictly answer in one single word.",Chair,right
Thermal_1037,"Which of the two chairs has a lower mean temperature, the one on the left or the right? Respond with only 'left' or 'right'. Strictly answer in one single word.",Chair,left
Thermal_1039,"Between the chair on the left and the chair on the right, which one is warmer? Respond with only 'left' or 'right'. Strictly answer in one single word.",Chair,right
Thermal_1039,"Which chair is colder, the one on the left or the right? Respond with only 'left' or 'right'. Strictly answer in one single word.",Chair,left
Thermal_104,"Which person is warmer, the one on the right or the left? Respond with only 'left' or 'right'. Strictly answer in one single word.",Person,right
Thermal_104,"Between the person on the right and the person on the left, which one is colder? Respond with only 'left' or 'right'. Strictly answer in one single word.",Person,left
Thermal_1040,"Which chair is warmer, the one on the left or the right? Respond with only 'left' or 'right'. Strictly answer in one single word.",Chair,right
Thermal_1040,"Which of the two chairs has a lower mean temperature, the one on the left or the right? Respond with only 'left' or 'right'. Strictly answer in one single word.",Chair,left
Thermal_1041,"Which chair is warmer, the one on the left or the right? Respond with only 'left' or 'right'. Strictly answer in one single word.",Chair,right
Thermal_1041,"Which chair is colder, the one on the left or the right? Respond with only 'left' or 'right'. Strictly answer in one single word.",Chair,left
Thermal_1041,"Which of the two shoes has a higher mean temperature, the one on the left or the right? Respond with only 'left' or 'right'. Strictly answer in one single word.",Shoe,right
Thermal_1041,"Which of the two shoes has a lower mean temperature, the one on the left or the right? Respond with only 'left' or 'right'. Strictly answer in one single word.",Shoe,left
Thermal_1042,"Which chair is warmer, the one on the left or the right? Respond with only 'left' or 'right'. Strictly answer in one single word.",Chair,right
Thermal_1042,"Which chair is colder, the one on the left or the right? Respond with only 'left' or 'right'. Strictly answer in one single word.",Chair,left
Thermal_1043,"Which chair is warmer, the one on the left or the right? Respond with only 'left' or 'right'. Strictly answer in one single word.",Chair,right
